driver_id,joining_timestamp,city,avg_rating,total_rides,is_active,last_active_timestamp
D_0,2025-04-08 14:26:55,Hyderabad,5.0,0,True,
D_1,2024-04-10 07:17:46,Delhi,4.4,0,True,
D_2,2024-01-27 07:19:20,Coimbatore,4.5,0,False,
D_3,2024-12-12 07:15:34,Jaipur,4.1,0,True,
D_4,2025-04-29 15:42:50,Mumbai,4.3,0,True,
D_5,2024-06-06 09:02:31,Coimbatore,4.7,0,True,
D_6,2024-01-02 13:08:28,Mumbai,4.5,0,True,
D_7,2025-03-01 00:55:31,Coimbatore,4.7,0,True,
D_8,2024-01-28 15:37:28,Bangalore,4.2,0,False,
D_9,2025-03-28 23:50:15,Hyderabad,5.0,0,True,
D_10,2024-08-23 23:48:48,Coimbatore,4.4,0,True,
D_11,2024-05-31 15:37:01,Delhi,4.7,0,False,
D_12,2024-02-03 08:52:08,Delhi,5.0,0,False,
D_13,2024-07-25 12:17:44,Bangalore,4.4,0,True,
D_14,2024-10-15 06:39:43,Bangalore,5.0,0,False,
D_15,2024-06-20 10:10:31,Bangalore,4.6,0,False,
D_16,2025-05-14 09:27:08,Jaipur,4.7,0,True,
D_17,2025-03-18 15:27:09,Hyderabad,5.0,0,False,
D_18,2024-10-23 20:13:52,Mumbai,4.9,0,False,
D_19,2024-02-09 08:41:29,Delhi,4.8,0,False,
D_20,2024-11-19 10:20:57,Mumbai,4.5,0,True,
D_21,2024-07-20 08:26:50,Jaipur,4.4,0,True,
D_22,2024-02-17 09:57:25,Delhi,4.3,0,True,
D_23,2024-07-08 10:38:18,Mumbai,4.8,0,True,
D_24,2025-05-14 07:22:12,Mumbai,4.9,0,True,
D_25,2025-05-15 09:34:57,Kochi,4.2,0,True,
D_26,2024-08-21 13:20:25,Mumbai,4.5,0,True,
D_27,2024-05-25 20:24:54,Delhi,4.0,0,False,
D_28,2024-04-09 09:45:19,Hyderabad,4.3,0,True,
D_29,2024-02-22 19:51:49,Mumbai,4.3,0,False,
D_30,2024-04-04 20:13:27,Indore,4.5,0,True,
D_31,2024-10-03 02:56:23,Coimbatore,4.5,0,True,
D_32,2025-06-22 13:29:37,Indore,4.8,0,True,
D_33,2024-12-15 14:39:44,Mumbai,4.1,0,True,
D_34,2024-08-19 13:16:45,Hyderabad,4.8,0,True,
D_35,2024-07-27 12:39:58,Mumbai,5.0,0,True,
D_36,2024-12-21 20:01:38,Indore,4.6,0,True,
D_37,2024-06-12 10:00:36,Indore,4.1,0,True,
D_38,2024-04-24 11:45:02,Hyderabad,4.5,0,True,
D_39,2024-02-11 15:06:04,Bangalore,4.2,0,False,
D_40,2025-03-12 12:08:06,Delhi,4.7,0,True,
D_41,2024-09-13 14:21:51,Coimbatore,4.6,0,False,
D_42,2024-03-16 19:37:26,Mumbai,4.5,0,False,
D_43,2024-05-21 17:26:39,Bangalore,4.8,0,False,
D_44,2024-08-18 08:46:26,Hyderabad,4.7,0,False,
D_45,2024-02-21 14:24:06,Bangalore,4.4,0,False,
D_46,2025-03-11 14:51:11,Kochi,5.0,0,False,
D_47,2025-01-24 11:41:32,Mumbai,4.7,0,True,
D_48,2024-12-11 10:04:40,Kochi,4.7,0,True,
D_49,2024-01-03 03:12:17,Kochi,4.3,0,True,
D_50,2024-05-12 09:29:07,Jaipur,4.6,0,True,
D_51,2025-06-19 07:59:27,Delhi,4.1,0,True,
D_52,2024-04-27 12:45:24,Indore,4.4,0,False,
D_53,2024-01-17 06:32:32,Indore,4.7,0,True,
D_54,2025-05-18 06:11:15,Coimbatore,4.6,0,True,
D_55,2024-10-06 06:37:37,Coimbatore,4.3,0,True,
D_56,2024-07-08 18:05:57,Indore,4.9,0,True,
D_57,2025-06-26 21:06:22,Kochi,4.8,0,True,
D_58,2024-09-26 21:19:22,Indore,4.3,0,True,
D_59,2024-03-31 17:27:51,Jaipur,4.3,0,False,
D_60,2025-03-02 08:06:31,Kochi,4.9,0,False,
D_61,2024-04-27 04:14:17,Delhi,4.0,0,False,
D_62,2024-07-29 11:12:06,Delhi,4.7,0,True,
D_63,2024-09-25 17:33:45,Mumbai,4.5,0,False,
D_64,2024-09-28 19:18:27,Coimbatore,4.0,0,True,
D_65,2024-08-25 03:28:22,Indore,4.2,0,True,
D_66,2024-08-22 06:37:07,Delhi,5.0,0,True,
D_67,2024-04-03 15:45:15,Kochi,4.6,0,True,
D_68,2024-08-08 14:08:34,Indore,4.9,0,True,
D_69,2024-04-07 17:31:05,Hyderabad,5.0,0,True,
D_70,2024-05-02 22:13:48,Mumbai,4.7,0,True,
D_71,2025-04-24 20:23:35,Hyderabad,4.5,0,True,
D_72,2024-10-06 19:34:03,Indore,3.7,0,False,
D_73,2024-09-10 01:43:41,Bangalore,4.8,0,True,
D_74,2024-06-06 10:32:11,Bangalore,3.9,0,True,
D_75,2024-09-12 06:25:13,Kochi,4.5,0,True,
D_76,2024-07-09 16:59:46,Coimbatore,4.5,0,False,
D_77,2024-01-02 04:40:51,Hyderabad,4.1,0,False,
D_78,2025-06-10 07:56:18,Hyderabad,4.4,0,False,
D_79,2024-02-13 17:34:02,Bangalore,4.4,0,True,
D_80,2024-09-16 06:26:45,Coimbatore,4.2,0,False,
D_81,2024-05-18 07:00:18,Coimbatore,5.0,0,True,
D_82,2025-04-27 15:39:27,Bangalore,4.7,0,False,
D_83,2025-01-22 14:09:20,Kochi,3.8,0,True,
D_84,2024-12-13 07:11:21,Jaipur,4.7,0,False,
D_85,2025-03-29 18:39:28,Bangalore,4.8,0,True,
D_86,2024-08-10 14:41:55,Hyderabad,5.0,0,True,
D_87,2024-08-12 20:39:49,Indore,4.8,0,True,
D_88,2024-03-11 10:17:02,Delhi,5.0,0,True,
D_89,2025-02-04 20:07:36,Kochi,4.3,0,True,
D_90,2025-01-16 11:50:58,Kochi,5.0,0,False,
D_91,2024-10-14 19:14:17,Jaipur,4.6,0,True,
D_92,2024-05-23 15:45:05,Bangalore,4.7,0,False,
D_93,2024-07-26 08:50:15,Indore,4.2,0,False,
D_94,2024-10-01 16:13:52,Hyderabad,4.3,0,True,
D_95,2025-02-11 07:02:03,Mumbai,4.5,0,True,
D_96,2024-09-13 13:08:26,Mumbai,4.6,0,False,
D_97,2025-04-26 16:19:46,Bangalore,4.0,0,True,
D_98,2024-07-13 14:22:17,Bangalore,4.6,0,True,
D_99,2025-03-25 10:57:13,Mumbai,4.2,0,True,
D_100,2024-11-16 18:44:56,Hyderabad,4.8,0,True,
D_101,2024-11-18 06:53:17,Jaipur,4.9,0,True,
D_102,2024-12-12 06:33:55,Jaipur,4.8,0,True,
D_103,2024-09-26 18:24:31,Hyderabad,5.0,0,True,
D_104,2024-08-11 20:04:00,Mumbai,4.8,0,True,
D_105,2025-05-03 17:35:54,Mumbai,4.2,0,True,
D_106,2025-06-12 08:33:37,Jaipur,4.4,0,True,
D_107,2024-01-15 06:37:12,Hyderabad,4.1,0,True,
D_108,2024-05-21 13:29:58,Jaipur,4.3,0,True,
D_109,2024-07-31 10:44:29,Jaipur,4.4,0,True,
D_110,2024-05-17 07:37:24,Mumbai,4.5,0,False,
D_111,2024-10-11 18:01:04,Bangalore,4.7,0,False,
D_112,2024-03-07 08:34:50,Mumbai,4.4,0,False,
D_113,2024-04-15 09:37:22,Delhi,4.5,0,True,
D_114,2024-04-16 14:02:46,Kochi,4.6,0,True,
D_115,2024-04-26 03:33:53,Bangalore,4.4,0,True,
D_116,2024-10-26 19:28:00,Indore,4.2,0,False,
D_117,2025-02-15 13:29:57,Jaipur,4.6,0,True,
D_118,2024-01-15 04:30:46,Bangalore,4.0,0,True,
D_119,2025-03-24 08:30:07,Jaipur,3.8,0,True,
D_120,2024-07-25 12:13:59,Coimbatore,3.9,0,True,
D_121,2024-12-02 16:23:50,Coimbatore,4.7,0,False,
D_122,2025-06-07 18:28:10,Hyderabad,4.4,0,True,
D_123,2024-09-06 14:57:14,Hyderabad,4.1,0,True,
D_124,2024-07-08 19:49:38,Kochi,4.7,0,True,
D_125,2024-06-13 12:56:55,Bangalore,4.1,0,True,
D_126,2024-05-06 19:36:23,Bangalore,4.0,0,True,
D_127,2025-04-24 10:32:54,Indore,4.9,0,True,
D_128,2024-03-25 07:03:24,Hyderabad,4.2,0,True,
D_129,2024-07-24 20:04:36,Kochi,4.2,0,True,
D_130,2024-06-12 20:47:45,Kochi,5.0,0,True,
D_131,2025-02-26 12:07:55,Delhi,4.5,0,True,
D_132,2025-06-14 17:23:24,Bangalore,4.0,0,True,
D_133,2024-05-01 19:09:14,Delhi,5.0,0,True,
D_134,2025-04-12 09:03:53,Delhi,4.9,0,False,
D_135,2024-08-12 15:01:25,Mumbai,4.9,0,True,
D_136,2025-05-06 04:58:39,Kochi,4.3,0,False,
D_137,2024-10-09 12:14:16,Kochi,4.5,0,True,
D_138,2024-07-31 16:49:28,Coimbatore,4.4,0,True,
D_139,2025-04-29 14:00:06,Hyderabad,4.8,0,False,
D_140,2024-09-12 16:24:52,Kochi,4.3,0,True,
D_141,2024-01-17 12:07:29,Jaipur,4.4,0,True,
D_142,2025-05-20 07:08:25,Mumbai,4.4,0,True,
D_143,2024-04-12 19:57:48,Bangalore,4.3,0,True,
