rating_id,ride_id,user_rating,driver_rating,feedback_text
RT_0,R_0,3.5,4.1,
RT_1,R_1,4.6,4.2,
RT_2,R_2,3.9,3.7,
RT_3,R_3,4.7,4.9,
RT_4,R_4,3.9,3.7,
RT_5,R_5,4.4,4.5,
RT_6,R_6,3.9,4.6,
RT_9,R_9,4.0,3.7,
RT_10,R_10,4.1,4.9,
RT_13,R_13,5.0,4.9,
RT_14,R_14,3.8,4.4,
RT_15,R_15,4.7,4.0,
RT_16,R_16,4.0,4.7,
RT_17,R_17,4.2,4.6,
RT_18,R_18,4.5,4.0,
RT_19,R_19,3.8,4.6,
RT_22,R_22,4.6,4.5,
RT_23,R_23,4.0,4.7,
RT_24,R_24,5.0,4.4,
RT_25,R_25,4.7,4.6,
RT_26,R_26,3.8,3.8,
RT_27,R_27,4.1,3.7,
RT_30,R_30,4.2,4.4,
RT_31,R_31,4.4,4.8,
RT_32,R_32,4.2,4.3,
RT_33,R_33,4.7,3.8,
RT_34,R_34,3.7,4.5,
RT_35,R_35,3.5,4.1,
RT_36,R_36,3.7,4.5,
RT_37,R_37,3.6,4.9,
RT_38,R_38,3.7,4.0,
RT_39,R_39,4.0,4.1,
RT_40,R_40,4.7,3.7,
RT_41,R_41,3.7,4.3,
RT_42,R_42,3.8,3.9,
RT_43,R_43,3.8,3.5,
RT_44,R_44,4.8,4.0,
RT_45,R_45,3.9,4.7,
RT_46,R_46,4.1,3.5,
RT_48,R_48,4.2,4.2,
RT_49,R_49,4.6,4.3,
RT_50,R_50,4.2,4.1,
RT_51,R_51,4.1,4.5,
RT_52,R_52,4.4,4.4,
RT_53,R_53,4.7,4.3,
RT_54,R_54,4.4,4.0,
RT_55,R_55,4.8,4.2,
RT_57,R_57,4.2,4.8,
RT_58,R_58,4.8,3.7,
RT_59,R_59,4.1,4.6,
RT_60,R_60,4.7,3.5,
RT_61,R_61,4.7,4.1,
RT_62,R_62,4.4,5.0,
RT_63,R_63,4.9,4.0,
RT_64,R_64,4.7,4.5,
RT_65,R_65,4.2,4.4,
RT_66,R_66,3.9,4.7,
RT_67,R_67,4.5,4.9,
RT_68,R_68,4.8,4.3,
RT_69,R_69,3.9,4.1,
RT_71,R_71,4.0,3.6,
RT_72,R_72,4.9,4.8,
RT_73,R_73,4.9,4.5,
RT_75,R_75,3.9,5.0,
RT_76,R_76,4.8,4.6,
RT_77,R_77,4.2,4.9,
RT_80,R_80,4.5,3.9,
RT_82,R_82,3.6,4.9,
RT_84,R_84,4.0,4.8,
RT_85,R_85,4.7,4.4,
RT_86,R_86,4.1,4.6,
